序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
2691,002971,和远气体,17.24,-1.65,-2819328.0,-9.35,0.0,0.0,-2819328.0,-9.35,-527876.0,-1.75,3347204.0,11.1
2692,002159,三特索道,15.59,-0.51,-2825956.0,-4.79,-1063436.0,-1.8,-1762520.0,-2.99,-54324.0,-0.09,2880280.0,4.88
2693,301218,华是科技,18.41,-3.21,-2827857.0,-5.26,0.0,0.0,-2827857.0,-5.26,462211.0,0.86,2365646.0,4.4
2694,688533,上声电子,29.32,-2.04,-2828790.0,-8.42,841337.0,2.5,-3670127.0,-10.92,437968.0,1.3,2390823.0,7.11
2695,688339,亿华通-U,20.39,-1.69,-2829279.0,-7.15,-2336998.0,-5.91,-492281.0,-1.24,872464.0,2.2,1956816.0,4.94
2696,600136,ST明诚,2.04,-1.45,-2829453.0,-14.8,-562971.0,-2.94,-2266482.0,-11.85,1659532.0,8.68,1169921.0,6.12
2697,301233,盛帮股份,47.38,2.09,-2829991.0,-2.83,713418.0,0.71,-3543409.0,-3.55,-3726659.0,-3.73,6556650.0,6.56
2698,301369,联动科技,48.19,-2.19,-2833290.0,-6.99,0.0,0.0,-2833290.0,-6.99,1399774.0,3.45,1433516.0,3.53
2699,000635,英 力 特,7.93,-1.0,-2841843.0,-11.68,0.0,0.0,-2841843.0,-11.68,575952.0,2.37,2265891.0,9.31
2700,301611,珂玛科技,56.74,0.12,-2842263.0,-2.12,2910716.0,2.17,-5752979.0,-4.29,4409525.0,3.29,-1567261.0,-1.17
2701,688207,格灵深瞳,12.93,-3.22,-2843188.0,-4.67,-931341.0,-1.53,-1911847.0,-3.14,-1372164.0,-2.25,4215353.0,6.92
2702,002595,豪迈科技,56.35,-0.11,-2843742.0,-3.11,-4428500.0,-4.84,1584758.0,1.73,-602572.0,-0.66,3446314.0,3.77
2703,002692,远程股份,4.62,-1.91,-2846529.0,-4.78,-1395000.0,-2.34,-1451529.0,-2.44,1260381.0,2.12,1586148.0,2.66
2704,688726,拉普拉斯,38.18,-2.08,-2857271.0,-8.9,99677.0,0.31,-2956948.0,-9.21,2865732.0,8.92,-8460.0,-0.03
2705,605009,豪悦护理,55.3,4.46,-2864386.0,-0.97,1617392.0,0.55,-4481778.0,-1.52,-7798941.0,-2.64,10663326.0,3.61
2706,688416,恒烁股份,37.69,-3.19,-2866486.0,-6.98,-353221.0,-0.86,-2513265.0,-6.12,2075078.0,5.05,791408.0,1.93
2707,688230,芯导科技,42.49,-1.32,-2874040.0,-13.24,-217413.0,-1.0,-2656627.0,-12.24,846400.0,3.9,2027641.0,9.34
2708,301337,亚华电子,25.75,-2.65,-2879200.0,-9.18,0.0,0.0,-2879200.0,-9.18,-2517058.0,-8.03,5396259.0,17.21
2709,688191,智洋创新,28.49,0.81,-2880922.0,-3.9,-5793476.0,-7.84,2912554.0,3.94,8236319.0,11.15,-5355398.0,-7.25
2710,605255,天普股份,15.18,-1.11,-2881621.0,-9.12,-119945.0,-0.38,-2761676.0,-8.74,92353.0,0.29,2789268.0,8.83
2711,603033,三维股份,11.12,-0.45,-2883298.0,-10.72,-1053904.0,-3.92,-1829394.0,-6.8,-884263.0,-3.29,3767561.0,14.01
2712,605577,龙版传媒,12.27,-2.39,-2885843.0,-5.16,-1701739.0,-3.04,-1184104.0,-2.12,-1315347.0,-2.35,4201190.0,7.51
2713,300882,万胜智能,14.65,-1.15,-2887121.0,-7.36,0.0,0.0,-2887121.0,-7.36,2388197.0,6.09,498924.0,1.27
2714,688375,国博电子,49.21,-0.59,-2887427.0,-3.32,-3290464.0,-3.78,403037.0,0.46,1932877.0,2.22,954551.0,1.1
2715,300626,华瑞股份,9.03,-1.63,-2890040.0,-7.31,0.0,0.0,-2890040.0,-7.31,-730881.0,-1.85,3620921.0,9.16
2716,000593,德龙汇能,5.37,0.19,-2896794.0,-12.15,0.0,0.0,-2896794.0,-12.15,332369.0,1.39,2564425.0,10.76
2717,688055,龙腾光电,3.3,-0.9,-2898491.0,-12.67,-471437.0,-2.06,-2427054.0,-10.61,-1596337.0,-6.98,4494827.0,19.64
2718,600307,酒钢宏兴,1.35,-0.74,-2900774.0,-11.4,-2880792.0,-11.32,-19982.0,-0.08,918676.0,3.61,1982098.0,7.79
2719,002862,实丰文化,23.1,-2.16,-2904048.0,-3.29,-2590684.0,-2.94,-313364.0,-0.36,-1415986.0,-1.6,4320034.0,4.9
2720,002350,北京科锐,6.15,-1.13,-2911751.0,-8.46,0.0,0.0,-2911751.0,-8.46,-626602.0,-1.82,3538354.0,10.29
2721,688667,菱电电控,44.7,-3.66,-2919012.0,-16.75,-837916.0,-4.81,-2081096.0,-11.94,1227085.0,7.04,1691928.0,9.71
2722,603188,亚邦股份,4.06,-1.93,-2925599.0,-4.08,-917152.0,-1.28,-2008447.0,-2.8,-5391355.0,-7.52,8316954.0,11.6
2723,300261,雅本化学,6.45,0.16,-2928807.0,-1.89,-4391760.0,-2.83,1462953.0,0.94,65162.0,0.04,2863646.0,1.85
2724,300066,三川智慧,3.76,-1.31,-2931965.0,-6.75,738167.0,1.7,-3670132.0,-8.45,1262908.0,2.91,1669057.0,3.84
2725,300313,ST天山,4.89,-3.93,-2937194.0,-14.87,0.0,0.0,-2937194.0,-14.87,-481866.0,-2.44,3419061.0,17.31
