日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2025-02-25,5.36,-0.92,-212912543.0,-15.68,-223071135.0,-16.43,10158592.0,0.75,72611824.0,5.35,140300714.0,10.33,-212912548.0,-2.0477124626773895,-1.99999995303235,-99016578.4,-2.6031773602134884
2025-02-26,5.41,0.93,-1349692.0,-0.14,-59743836.0,-6.28,58394144.0,6.14,29368178.0,3.09,-28018479.0,-2.94,-1349685.0,-45.265027024790776,-2.0000103727892062,-99982577.4,0.19124652594491612
2025-02-27,5.43,0.37,74574836.0,6.31,-28669004.0,-2.42,103243840.0,8.73,-38472944.0,-3.25,-36101898.0,-3.05,74574830.0,0.615567370384879,2.000000160912174,-79929182.2,1.1940939787182892
2025-02-28,5.4,-0.55,-33469174.0,-3.02,-9836100.0,-0.89,-23633074.0,-2.13,-31872533.0,-2.87,65341712.0,5.89,-33469169.0,-1.293885545828721,-2.000000298782381,-52934388.2,-0.23300304237692443
2025-03-03,5.42,0.37,79865060.0,6.12,33406756.0,2.56,46458304.0,3.56,-11906144.0,-0.91,-67958928.0,-5.2,79865048.0,1.4182902137615767,2.0000003005069003,-18658304.8,1.2639697184041578
2025-03-04,5.38,-0.74,-44532345.0,-5.5,23004466.0,2.84,-67536811.0,-8.34,10105054.0,1.25,34427292.0,4.25,-44532344.0,-0.48342119606368616,-2.0000000449111326,15017736.0,-0.3791307702700306
2025-03-05,5.47,1.67,155215952.0,11.32,149651504.0,10.92,5564448.0,0.41,-103712368.0,-7.56,-51503599.0,-3.76,155215937.0,1.9641504725123555,2.0000001932791087,46330860.4,2.2592404435165827
2025-03-06,5.44,-0.55,-7066868.0,-0.77,11109074.0,1.21,-18175942.0,-1.99,15059453.0,1.65,-7992583.0,-0.87,-7066866.0,0.5719941484668633,-2.0000005660214866,30002521.2,0.11573125392909454
2025-03-07,5.41,-0.55,-27988042.0,-3.81,-58863735.0,-8.02,30875693.0,4.21,34186422.0,4.66,-6198380.0,-0.84,-27988042.0,-3.1031744557192282,-1.9999999999999287,31098746.6,-0.1606056849453049
2025-03-10,5.37,-0.74,52559211.0,6.15,4215048.0,0.49,48344163.0,5.66,39584923.0,4.64,-92144132.0,-10.79,52559213.0,1.0801961399231552,1.9999999238953217,25637579.6,0.9033011375696276
2025-03-11,5.39,0.37,23848451.0,2.72,477584.0,0.05,23370867.0,2.67,-17468152.0,-1.99,-6380297.0,-0.73,23848453.0,1.0200257014574061,1.9999998322741523,39313739.0,0.52407563269564
2025-03-12,5.33,-1.11,-60189374.0,-7.76,-28548549.0,-3.68,-31640825.0,-4.08,27978893.0,3.61,32210482.0,4.16,-60189373.0,-1.474312134801579,-2.000000033228424,-3767323.0,-0.5859363277457528
2025-03-13,5.33,0.0,31759288.0,4.07,21733805.0,2.79,10025483.0,1.29,-28637425.0,-3.67,-3121864.0,-0.4,31759287.0,1.6843291538628786,2.000000062973643,3997907.6,0.628565726919001
2025-03-14,5.36,0.56,-74457548.0,-7.29,-53444681.0,-5.23,-21012867.0,-2.06,35222256.0,3.45,39235285.0,3.84,-74457555.0,-1.7177871204607549,-1.9999998119733855,-5295995.0,-0.7743973271266101
2025-03-17,5.37,0.19,62848977.0,7.76,35082461.0,4.33,27766516.0,3.43,-9181909.0,-1.13,-53667068.0,-6.63,62848977.0,1.5582025782217337,1.9999999999999682,-3238042.2,1.0392132815858146
2025-03-18,5.37,0.0,-27862198.0,-3.56,-22758858.0,-2.91,-5103340.0,-0.65,27132024.0,3.47,730174.0,0.09,-27862198.0,-1.8168364175718723,-1.9999999999999283,-13580172.4,-0.15894347696351124
2025-03-19,5.43,1.12,34793732.0,3.25,81943172.0,7.64,-47149440.0,-4.4,-16376316.0,-1.53,-18417418.0,-1.72,34793730.0,3.3551132344820935,2.0000001149631847,5416448.2,0.6686461071905905
2025-03-20,5.42,-0.18,10173238.0,1.44,-2608989.0,-0.37,12782227.0,1.8,10835354.0,1.53,-21008594.0,-2.97,10173236.0,0.7435440404606023,2.000000393188362,1099238.0,0.34344679977424264
