序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4447,688298,东方生物,22.51,-0.18,-7948454.0,-16.93,-10794996.0,-23.0,2846542.0,6.06,2588706.0,5.51,5359748.0,11.42
4448,601211,国泰海通,16.99,0.89,-7952327.0,-1.04,27063356.0,3.55,-35015683.0,-4.59,7537261.0,0.99,415067.0,0.05
4449,301392,汇成真空,116.71,-4.41,-7958050.0,-2.5,-1493053.0,-0.47,-6464997.0,-2.03,-7985395.0,-2.51,15943446.0,5.02
4450,300511,雪榕生物,4.79,-2.24,-7969186.0,-3.76,-8999990.0,-4.24,1030804.0,0.49,-7930006.0,-3.74,15899193.0,7.5
4451,301158,德石股份,15.94,2.84,-7978655.0,-5.19,-3714946.0,-2.42,-4263709.0,-2.77,-5488244.0,-3.57,13466899.0,8.76
4452,002566,益盛药业,7.47,-2.73,-7990396.0,-4.4,2792685.0,1.54,-10783081.0,-5.93,-9059354.0,-4.99,17049751.0,9.38
4453,603357,设计总院,9.4,-0.42,-8008670.0,-13.71,-6563491.0,-11.24,-1445179.0,-2.47,8014076.0,13.72,-5406.0,-0.01
4454,000736,*ST中地,4.21,-4.97,-8008864.0,-2.99,-3363495.0,-1.26,-4645369.0,-1.74,27296752.0,10.2,-19287889.0,-7.21
4455,600455,博通股份,24.25,-1.54,-8011107.0,-19.2,-1593889.0,-3.82,-6417218.0,-15.38,-895341.0,-2.15,8906448.0,21.35
4456,300222,科大智能,9.52,3.14,-8015649.0,-3.5,-9126498.0,-3.98,1110849.0,0.48,362328.0,0.16,7653321.0,3.34
4457,002421,达实智能,3.36,2.13,-8018353.0,-7.58,-7414288.0,-7.01,-604065.0,-0.57,538249.0,0.51,7480104.0,7.07
4458,000926,福星股份,2.21,-0.9,-8028771.0,-13.54,-4706575.0,-7.94,-3322196.0,-5.6,234125.0,0.39,7794645.0,13.14
4459,600376,首开股份,2.46,-1.2,-8032298.0,-17.96,-3152056.0,-7.05,-4880242.0,-10.91,300093.0,0.67,7732206.0,17.29
4460,300726,宏达电子,35.88,0.56,-8039284.0,-3.41,-12013806.0,-5.09,3974522.0,1.68,15113651.0,6.4,-7074367.0,-3.0
4461,002409,雅克科技,54.71,0.7,-8046990.0,-2.53,-36344087.0,-11.44,28297097.0,8.91,-5757569.0,-1.81,13804559.0,4.35
4462,300522,世名科技,13.05,-0.08,-8049955.0,-10.25,-7381025.0,-9.4,-668930.0,-0.85,2427981.0,3.09,5621975.0,7.16
4463,000638,万方发展,4.57,-10.04,-8074276.0,-23.34,1497132.0,4.33,-9571408.0,-27.67,-622827.0,-1.8,8697104.0,25.14
4464,601229,上海银行,10.43,-1.51,-8077090.0,-1.75,-26295507.0,-5.71,18218417.0,3.96,-6648648.0,-1.44,14725737.0,3.2
4465,300403,汉宇集团,14.87,3.34,-8079210.0,-1.38,2627417.0,0.45,-10706627.0,-1.83,-22912736.0,-3.92,30991946.0,5.3
4466,601665,齐鲁银行,6.08,-1.62,-8087681.0,-3.51,-15978081.0,-6.93,7890400.0,3.42,5012944.0,2.17,3074737.0,1.33
4467,300709,精研科技,31.8,1.08,-8096162.0,-5.33,-13729176.0,-9.04,5633014.0,3.71,12984041.0,8.55,-4887879.0,-3.22
4468,688156,路德环境,15.83,10.01,-8096792.0,-6.89,-285529.0,-0.24,-7811263.0,-6.65,-467454.0,-0.4,8564246.0,7.29
4469,000980,众泰汽车,2.02,0.5,-8106460.0,-5.84,1210401.0,0.87,-9316861.0,-6.71,-860668.0,-0.62,8967129.0,6.46
4470,688105,诺唯赞,24.42,-0.04,-8108803.0,-22.36,-1894626.0,-5.22,-6214177.0,-17.14,5988724.0,16.51,2120080.0,5.85
4471,000967,盈峰环境,5.75,1.59,-8112615.0,-5.42,-16860921.0,-11.26,8748306.0,5.84,-252104.0,-0.17,8364719.0,5.58
4472,601995,中金公司,33.64,0.42,-8118705.0,-2.46,6473471.0,1.96,-14592176.0,-4.42,-5037377.0,-1.53,13156081.0,3.98
4473,600501,航天晨光,17.44,0.23,-8119291.0,-8.87,-7429137.0,-8.12,-690154.0,-0.75,3931792.0,4.3,4187499.0,4.58
